"filename", "language", "JavaScript", "JSON", "Properties", "CSS", "Shell Script", "SCSS", "Python", "comment", "blank", "total"
"/home/ahmed/.config/ags/config.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 5, 11, 73
"/home/ahmed/.config/ags/modules/components/NestedCircles.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 1, 14, 144
"/home/ahmed/.config/ags/modules/components/ScreenCorners.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 8, 11, 138
"/home/ahmed/.config/ags/modules/menus/HardwareMenu.js", "JavaScript", 330, 0, 0, 0, 0, 0, 0, 15, 34, 379
"/home/ahmed/.config/ags/modules/menus/PrayerTimesMenu.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 19, 135
"/home/ahmed/.config/ags/modules/menus/WeatherMenu.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 13, 101
"/home/ahmed/.config/ags/modules/menus/left_menu.js", "JavaScript", 353, 0, 0, 0, 0, 0, 0, 8, 46, 407
"/home/ahmed/.config/ags/modules/menus/notification_center.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 16, 17, 150
"/home/ahmed/.config/ags/modules/notifications/MenuNotification.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 9, 13, 146
"/home/ahmed/.config/ags/modules/notifications/Notification.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 4, 18, 178
"/home/ahmed/.config/ags/modules/notifications/Notifications.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 1, 10, 76
"/home/ahmed/.config/ags/modules/notifications/OSDNotifications.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 2, 20, 104
"/home/ahmed/.config/ags/modules/on-screen/brightness.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ahmed/.config/ags/modules/on-screen/volume.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 1, 6, 63
"/home/ahmed/.config/ags/modules/services/BrightnessService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/ahmed/.config/ags/modules/services/PrayerTimesService.js", "JavaScript", 241, 0, 0, 0, 0, 0, 0, 17, 60, 318
"/home/ahmed/.config/ags/modules/services/ThemeService.js", "JavaScript", 278, 0, 0, 0, 0, 0, 0, 16, 53, 347
"/home/ahmed/.config/ags/modules/services/WeatherService.js", "JavaScript", 256, 0, 0, 0, 0, 0, 0, 28, 44, 328
"/home/ahmed/.config/ags/modules/services/prayer-json-example.json", "JSON", 0, 91, 0, 0, 0, 0, 0, 0, 0, 91
"/home/ahmed/.config/ags/modules/services/weatjer-json-example.json", "JSON", 0, 1444, 0, 0, 0, 0, 0, 0, 1, 1445
"/home/ahmed/.config/ags/modules/settings.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 1, 5, 41
"/home/ahmed/.config/ags/modules/theme/kitty/black_hole.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/circles.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/colors.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/dark.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/deer.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/dracula.conf", "Properties", 0, 0, 27, 0, 0, 0, 0, 49, 14, 90
"/home/ahmed/.config/ags/modules/theme/kitty/game.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/golden.conf", "Properties", 0, 0, 34, 0, 0, 0, 0, 21, 6, 61
"/home/ahmed/.config/ags/modules/theme/kitty/harmony.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/kitty.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/kitty_all.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 1664, 729, 2393
"/home/ahmed/.config/ags/modules/theme/kitty/material-you.conf", "Properties", 0, 0, 33, 0, 0, 0, 0, 12, 4, 49
"/home/ahmed/.config/ags/modules/theme/kitty/materialYou.conf", "Properties", 0, 0, 34, 0, 0, 0, 0, 21, 6, 61
"/home/ahmed/.config/ags/modules/theme/kitty/new_cat.conf", "Properties", 0, 0, 34, 0, 0, 0, 0, 26, 8, 68
"/home/ahmed/.config/ags/modules/theme/kitty/siberian.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/unicat.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/kitty/white_flower.conf", "Properties", 0, 0, 34, 0, 0, 0, 0, 21, 6, 61
"/home/ahmed/.config/ags/modules/theme/kitty/win_20.conf", "Properties", 0, 0, 38, 0, 0, 0, 0, 23, 7, 68
"/home/ahmed/.config/ags/modules/theme/themes.js", "JavaScript", 390, 0, 0, 0, 0, 0, 0, 4, 28, 422
"/home/ahmed/.config/ags/modules/topbar.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 4, 15, 132
"/home/ahmed/.config/ags/modules/utils/HoverRevealer.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 8, 55
"/home/ahmed/.config/ags/modules/utils/ShowWindow.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 5, 23
"/home/ahmed/.config/ags/modules/utils/helpers.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 16, 8, 80
"/home/ahmed/.config/ags/modules/utils/imports.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/ahmed/.config/ags/modules/widgets/FuzzyClock.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 4, 21, 172
"/home/ahmed/.config/ags/modules/widgets/MusicPLayer.js", "JavaScript", 214, 0, 0, 0, 0, 0, 0, 6, 29, 249
"/home/ahmed/.config/ags/modules/widgets/NotificationIndicator.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/home/ahmed/.config/ags/modules/widgets/Saying.js", "JavaScript", 317, 0, 0, 0, 0, 0, 0, 3, 6, 326
"/home/ahmed/.config/ags/modules/widgets/desktop/BlackHole.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 11, 17, 158
"/home/ahmed/.config/ags/modules/widgets/desktop/Circles.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 9, 30, 333
"/home/ahmed/.config/ags/modules/widgets/desktop/ColorsWidget.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 6, 66
"/home/ahmed/.config/ags/modules/widgets/desktop/DeerWidget.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 11, 16, 156
"/home/ahmed/.config/ags/modules/widgets/desktop/Golden.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 8, 17, 153
"/home/ahmed/.config/ags/modules/widgets/desktop/Harmony.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 6, 70
"/home/ahmed/.config/ags/modules/widgets/desktop/MaterialYouOne.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 8, 17, 153
"/home/ahmed/.config/ags/modules/widgets/desktop/NewCat.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 11, 17, 156
"/home/ahmed/.config/ags/modules/widgets/desktop/UnicatWidget.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 6, 70
"/home/ahmed/.config/ags/modules/widgets/desktop/WhiteFlower.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 6, 70
"/home/ahmed/.config/ags/modules/widgets/desktop/Win20Widget.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 6, 70
"/home/ahmed/.config/ags/modules/widgets/hardware/all.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/ahmed/.config/ags/modules/widgets/hardware/battery.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 1, 5, 33
"/home/ahmed/.config/ags/modules/widgets/hardware/cpu.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 1, 8, 42
"/home/ahmed/.config/ags/modules/widgets/hardware/ram.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 1, 7, 41
"/home/ahmed/.config/ags/modules/widgets/hardware/temp.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/home/ahmed/.config/ags/modules/widgets/internet.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 1, 20, 110
"/home/ahmed/.config/ags/modules/widgets/systray.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"/home/ahmed/.config/ags/modules/widgets/volume.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 1, 6, 46
"/home/ahmed/.config/ags/modules/widgets/workspace.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 1, 4, 45
"/home/ahmed/.config/ags/scripts/cpu.sh", "Shell Script", 0, 0, 0, 0, 2, 0, 0, 3, 3, 8
"/home/ahmed/.config/ags/scripts/cpu_cores.sh", "Shell Script", 0, 0, 0, 0, 10, 0, 0, 4, 4, 18
"/home/ahmed/.config/ags/scripts/cpu_usage.sh", "Shell Script", 0, 0, 0, 0, 17, 0, 0, 7, 6, 30
"/home/ahmed/.config/ags/scripts/devices_temps.sh", "Shell Script", 0, 0, 0, 0, 24, 0, 0, 3, 3, 30
"/home/ahmed/.config/ags/scripts/get_wallpapers.sh", "Shell Script", 0, 0, 0, 0, 13, 0, 0, 1, 5, 19
"/home/ahmed/.config/ags/scripts/hardware_info.sh", "Shell Script", 0, 0, 0, 0, 30, 0, 0, 8, 8, 46
"/home/ahmed/.config/ags/scripts/lang.sh", "Shell Script", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/ahmed/.config/ags/scripts/m3/css_theme.py", "Python", 0, 0, 0, 0, 0, 0, 46, 0, 15, 61
"/home/ahmed/.config/ags/scripts/m3/dynamic-m3.py", "Python", 0, 0, 0, 0, 0, 0, 18, 2, 4, 24
"/home/ahmed/.config/ags/scripts/m3/kitty_theme.py", "Python", 0, 0, 0, 0, 0, 0, 50, 3, 24, 77
"/home/ahmed/.config/ags/scripts/m3/plasma_color.py", "Python", 0, 0, 0, 0, 0, 0, 43, 3, 11, 57
"/home/ahmed/.config/ags/scripts/net_usage.sh", "Shell Script", 0, 0, 0, 0, 15, 0, 0, 7, 8, 30
"/home/ahmed/.config/ags/scripts/ram.sh", "Shell Script", 0, 0, 0, 0, 8, 0, 0, 4, 5, 17
"/home/ahmed/.config/ags/scripts/ram_usage.sh", "Shell Script", 0, 0, 0, 0, 10, 0, 0, 6, 6, 22
"/home/ahmed/.config/ags/scripts/temp.sh", "Shell Script", 0, 0, 0, 0, 6, 0, 0, 4, 4, 14
"/home/ahmed/.config/ags/scripts/uptime.sh", "Shell Script", 0, 0, 0, 0, 9, 0, 0, 1, 3, 13
"/home/ahmed/.config/ags/scss/main.scss", "SCSS", 0, 0, 0, 0, 0, 1030, 0, 129, 216, 1375
"/home/ahmed/.config/ags/scss/themes/black-hole.scss", "SCSS", 0, 0, 0, 0, 0, 259, 0, 93, 82, 434
"/home/ahmed/.config/ags/scss/themes/circles.scss", "SCSS", 0, 0, 0, 0, 0, 271, 0, 79, 82, 432
"/home/ahmed/.config/ags/scss/themes/colors.scss", "SCSS", 0, 0, 0, 0, 0, 169, 0, 82, 62, 313
"/home/ahmed/.config/ags/scss/themes/dark.scss", "SCSS", 0, 0, 0, 0, 0, 169, 0, 74, 59, 302
"/home/ahmed/.config/ags/scss/themes/deer.scss", "SCSS", 0, 0, 0, 0, 0, 258, 0, 79, 79, 416
"/home/ahmed/.config/ags/scss/themes/game.scss", "SCSS", 0, 0, 0, 0, 0, 169, 0, 83, 62, 314
"/home/ahmed/.config/ags/scss/themes/golden.scss", "SCSS", 0, 0, 0, 0, 0, 276, 0, 79, 88, 443
"/home/ahmed/.config/ags/scss/themes/harmony.scss", "SCSS", 0, 0, 0, 0, 0, 169, 0, 71, 59, 299
"/home/ahmed/.config/ags/scss/themes/m3/circles.scss", "SCSS", 0, 0, 0, 0, 0, 75, 0, 13, 23, 111
"/home/ahmed/.config/ags/scss/themes/m3/dynamic.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 1, 5, 34
"/home/ahmed/.config/ags/scss/themes/m3/main.scss", "SCSS", 0, 0, 0, 0, 0, 261, 0, 118, 89, 468
"/home/ahmed/.config/ags/scss/themes/m3/material-you.scss", "SCSS", 0, 0, 0, 0, 0, 281, 0, 82, 91, 454
"/home/ahmed/.config/ags/scss/themes/material-you.scss", "SCSS", 0, 0, 0, 0, 0, 276, 0, 84, 91, 451
"/home/ahmed/.config/ags/scss/themes/newCat.scss", "SCSS", 0, 0, 0, 0, 0, 260, 0, 81, 80, 421
"/home/ahmed/.config/ags/scss/themes/siberian.scss", "SCSS", 0, 0, 0, 0, 0, 169, 0, 72, 61, 302
"/home/ahmed/.config/ags/scss/themes/unicat.scss", "SCSS", 0, 0, 0, 0, 0, 171, 0, 72, 59, 302
"/home/ahmed/.config/ags/scss/themes/white-flower.scss", "SCSS", 0, 0, 0, 0, 0, 172, 0, 114, 73, 359
"/home/ahmed/.config/ags/scss/themes/win20.scss", "SCSS", 0, 0, 0, 0, 0, 169, 0, 86, 63, 318
"/home/ahmed/.config/ags/style.css", "CSS", 0, 0, 0, 888, 0, 0, 0, 53, 202, 1143
"/home/ahmed/.config/ags/style.scss", "SCSS", 0, 0, 0, 0, 0, 888, 0, 53, 202, 1143
"Total", "-", 5581, 1535, 614, 888, 149, 5520, 157, 3958, 3515, 21917